actor_id,actor_login,year,week_number,week_start,total_events,distinct_repos,push_count,pr_count,issue_count,time_grain,gold_ingested_at
195900,thejohnnybot,2024,1,2024-01-01,3,2,0,1,1,week,2026-05-14 21:48:32.391286
24791701,annasvst,2024,1,2024-01-01,2,1,0,0,0,week,2026-05-14 21:48:32.391286
155372808,Th3Fr0st,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
142661870,RostyslavKuzmych,2024,1,2024-01-01,1,1,0,1,0,week,2026-05-14 21:48:32.391286
28790108,cla-bot[bot],2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
4417660,AzureMarker,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
1008395,lkiesow,2024,1,2024-01-01,29,2,16,13,0,week,2026-05-14 21:48:32.391286
121875627,whosumdotcom14[bot],2024,1,2024-01-01,9,2,9,0,0,week,2026-05-14 21:48:32.391286
118625011,moumouta,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
55351021,josuah,2024,1,2024-01-01,2,1,2,0,0,week,2026-05-14 21:48:32.391286
108192551,inv0kerrr,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
45598,jb55,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
845186,varffs,2024,1,2024-01-01,5,1,2,2,0,week,2026-05-14 21:48:32.391286
450516,kylekz,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
62869132,suyogsatyal,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
40616000,A5rocks,2024,1,2024-01-01,3,1,1,2,0,week,2026-05-14 21:48:32.391286
95395696,ra1sondetre,2024,1,2024-01-01,2,2,0,0,0,week,2026-05-14 21:48:32.391286
17530718,dnk777,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
9826063,MrGadget1024,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
3866478,garciadelcastillo,2024,1,2024-01-01,5,2,2,2,0,week,2026-05-14 21:48:32.391286
3974108,seisman,2024,1,2024-01-01,5,1,1,1,0,week,2026-05-14 21:48:32.391286
