org_login,repo_name,detected_language,commit_count,gold_ingested_at
Jeebiz,Jeebiz/jeebiz-boot,Java,3,2026-05-14 21:52:28.764978
hal4j,hal4j/hal4j,Java,3,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa3468280ff8ce4e32a1f7fdbc351cc338,C#,2,2026-05-14 21:52:28.764978
openlawlibrary,openlawlibrary/stelae,JavaScript,2,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa80ad1c568dc2496ca3d7d673b5dac76e,C#,2,2026-05-14 21:52:28.764978
InstaDEXFi,InstaDEXFi/instadexwebv2,JavaScript,2,2026-05-14 21:52:28.764978
THM-Health,THM-Health/PILOS,PHP,2,2026-05-14 21:52:28.764978
gg-snyk-demo,gg-snyk-demo/public-app-gg-2023-11,Python,2,2026-05-14 21:52:28.764978
DockStudios,DockStudios/jmon,JavaScript,2,2026-05-14 21:52:28.764978
novaramedia,novaramedia/novaramedia-com,JavaScript,2,2026-05-14 21:52:28.764978
RWS-CFNS,RWS-CFNS/Meetkast_Script_12NM_2023,Python,2,2026-05-14 21:52:28.764978
octopot,octopot/space,TypeScript,2,2026-05-14 21:52:28.764978
kh352-230911,kh352-230911/semi_petking,JavaScript,2,2026-05-14 21:52:28.764978
6Ministers,6Ministers/flectra-2.0dev-docker-compose,Shell,2,2026-05-14 21:52:28.764978
Lightning-Universe,Lightning-Universe/lightning-quick-start,Python,2,2026-05-14 21:52:28.764978
Certegy-Payment-Solutions,Certegy-Payment-Solutions/cashline.uptime.monitor,Java,2,2026-05-14 21:52:28.764978
StudentiUniMi,StudentiUniMi/website,TypeScript,2,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swac06feff68564472e8b3eed0dfec616b2,C#,2,2026-05-14 21:52:28.764978
vega,vega/editor,JavaScript,2,2026-05-14 21:52:28.764978
jboss,jboss/jboss-parent-pom,Java,2,2026-05-14 21:52:28.764978
enonic,enonic/tutorial-myfirstsite,TypeScript,2,2026-05-14 21:52:28.764978
Ree6-Applications,Ree6-Applications/Ree6-SQL,Java,2,2026-05-14 21:52:28.764978
